"NestID","EggLetter","Year","Treatment","FemaleID","MaleID","ClutchSize","SampleDOY","IncStage","LayDOY","EggAge","LayOrder_est","LayOrder_known","Mass_egg","Length_egg","Width_egg","Volume_egg","Mass_yolk","Mass_albumen","Mass_shell","MeanStrength","Carotenoid_ugml","Carotenoid_ugg","Carot_ugyolk","T_concentration","FcaughtDOY","FemaleAge","Ectoparasites","Mass_female","Tarsus_female","YellowAreaScore_female","HTheta_female","HPhi_female","RVec_female","Lum_female","ScaledBodyMass_female","HTheta_egg","HPhi_egg","RVec_egg","RMax_egg","RAchieved_egg","Lum_egg","Thickness_shell","ClutchMass_shell","Ectoparasites2","ClutchInitiationDate"
"PE31","C",2008,"CONT",634,,4,136,3,132,4,3,,5.91,2.789,2.069,6.017277384,,,,,,,,,135,6,0,81.7,38.1,3,0.319057669,-0.893506857,0.268930266,0.230565712,82.43492897,2.22353228,-1.277782607,0.139695495,0.261129947,0.534965431,0.353326895,0.1,,"NO",130
"PE32","A",2008,"EXP",633,,4,135,1,133,2,3,,7.73,3.0435,2.275,7.939015403,1.433,5.017,0.697,170.25,3.581,68.211,97.746,7.38,135,1,2,91,38.2,4,0.343530888,-0.886624883,0.273957279,0.206217746,91.36243546,2.458128899,-1.188049943,0.165763372,0.269500389,0.615076557,0.225867155,0.1,2.528,"YES",131
"PE32","C",2008,"EXP",633,,4,135,1.75,132,3,2,,7.87,3.275,2.2945,8.689963751,1.864,5.27,0.588,187.75,3.365,64.093,,,135,1,2,91,38.2,4,0.343530888,-0.886624883,0.273957279,0.206217746,91.36243546,2.397804003,-1.234206913,0.155875654,0.264862335,0.588515745,0.255297979,0.1,2.528,"YES",131
"PE45","A",2008,"CONT",607,,3,146,2,142,4,3,,6.63,2.749,2.1915,6.654083192,,,,,,,,,124,1,0,98.2,38.1,5,0.331509845,-0.865834007,0.278154787,0.22468325,99.08335403,2.479899171,-1.201249363,0.153982902,0.268099081,0.574350726,0.250729423,0.1,,"NO",141
"PE46","A",2008,"CONT",663,,4,146,1,144.5,1.5,3.5,,6.41,2.947,2.044,6.205438206,,,,,,,,,150,5,10,86.7,38.5,1,0.244014998,-0.956570217,0.254607078,0.210203473,85.7611067,2.40240719,-1.195972809,0.157565935,0.268651897,0.586505946,0.253980029,0.1,,"YES",
"PE53","C",2008,"CONT",635,660,3,159,1,155.5,3.5,3,3,6.12,2.8425,2.054,6.04410344,,,,,,,,,136,1,0,83.7,36.9,3.5,0.33238233,-0.900356658,0.268543639,0.25312965,89.74743136,2.351518824,-1.213468386,0.159313473,0.266856019,0.597001611,0.244253649,0.1,,"NO",
"PE54","D",2008,"CONT",680,,4,159,3.5,155.5,3.5,1,,6.58,2.997,2.057,6.39125084,,,0.763,173,,,,,160,6,0,86,38.1,3.5,0.335147421,-0.919018297,0.260259595,0.283352596,86.77360944,2.318787419,-1.286371136,0.143182647,0.260464661,0.549720052,0.315329548,0.1,1.788,"NO",155
"PE58","C",2008,"CONT",617,661,3,162,2,159,3,3,,5.6,2.4875,2.0015,5.022325021,,,,,,,,,130,1,2,91.5,39.4,4.5,0.305196602,-0.842291244,0.29027449,0.169083246,86.62134799,2.412147856,-1.274668158,0.139443257,0.26137681,0.533495135,0.3315989,0.1,,"YES",157
"SF01","A",2009,"EXP",886,,4,122,0.5,122,0,1.5,,5.92,3.018,2.135,6.933388417,1.2,3.86,0.58,,3.784,75.676,90.811,8.64,125,5,20,86.28,38.6,4.5,0.330675021,-0.965344174,0.252203212,0.248583926,84.92604957,2.433532981,-1.230533045,0.143743635,0.265205045,0.542009428,0.173853422,0.1,2.021,"YES",122
"SF01","D",2009,"EXP",886,,4,123,0.5,123,0,4,4,5.1,2.858,2.057,6.09482646,0.945,3.066,0.518,,3.473,69.459,65.639,3.51,125,5,20,86.28,38.6,4.5,0.330675021,-0.965344174,0.252203212,0.248583926,84.92604957,2.493070525,-1.191484496,0.149610609,0.269129837,0.555904951,0.208952047,0.1,2.021,"YES",122
"SR01","A",2009,"EXP",879,,4,112,0.5,112,0,2.5,,5.97,2.8275,2.043,5.507407089,1.097,3.863,0.516,,3.514,63.882,70.079,4.39,115,6,1,86.6,37.5,4,0.277974517,-0.93666287,0.258434106,0.224158506,90.05444388,2.505884826,-1.20328747,0.15571099,0.267888154,0.581253733,0.208919805,0.1,2.082,"YES",112
"SR01","B",2009,"EXP",879,,4,112,0.5,112,0,2.5,,5.43,2.7705,1.986,5.747006124,1.214,3.184,0.481,,6.784,135.676,164.71,5.8,115,6,1,86.6,37.5,4,0.277974517,-0.93666287,0.258434106,0.224158506,90.05444388,2.458327498,-1.223133745,0.151009253,0.265908893,0.567898471,0.198187343,0.1,2.082,"YES",112
"SR03","B",2009,"EXP",878,,5,113,0.5,113,0,2,2,6.88,2.837,2.247,6.997698147,1.186,4.866,0.577,,4.216,76.658,90.917,,115,6,0,102.27,39.5,4,0.30483288,-0.996641117,0.249768122,0.260925891,96.35193471,2.408122795,-1.238321358,0.147713731,0.264483808,0.558498202,0.222556527,0.1,1.765,"NO",
"SU02","A",2008,"EXP",49272,,4,123,0.5,119.5,3.5,2,,6.31,3.0235,2.0475,6.388344533,1.52,3.613,0.598,183.75,3.135,59.717,90.77,3.87,123,6,0,85.9,39,3.5,0.346534153,-0.931080301,0.25911014,0.240543758,82.91193976,2.510544049,-1.203764377,0.151982996,0.267839007,0.567441603,0.260002235,0.1,2.58,"NO",119
"SU02","C",2008,"EXP",49272,,4,123,0.25,121,2,3.5,3,6.28,2.975,2.0565,6.34125086,1.464,3.554,0.656,206.67,2.662,50.708,74.236,2.36,123,6,0,85.9,39,3.5,0.346534153,-0.931080301,0.25911014,0.240543758,82.91193976,2.543081559,-1.194887346,0.154549684,0.268766831,0.575032577,0.261585938,0.1,2.58,"NO",119
"SU02","D",2008,"EXP",49272,,4,123,0,122,1,3.5,4,6.26,2.997,2.0905,6.60111993,1.329,3.921,0.619,191.25,2.243,44.865,59.625,3.08,123,6,0,85.9,39,3.5,0.346534153,-0.931080301,0.25911014,0.240543758,82.91193976,2.587350163,-1.143301267,0.15923077,0.274723121,0.579604545,0.238491178,0.1,2.58,"NO",119
"SU13","B",2008,"EXP",625,,3,134,1.25,130.5,3.5,1,1,6.2,2.7315,2.0805,6.038969252,1.178,3.839,0.766,227.33,2.419,48.378,,2.46,134,6,0,82.8,35.7,5,0.319953274,-0.802552955,0.301817285,0.218861976,94.53821357,2.343348626,-1.279443404,0.144286081,0.260999531,0.552821228,0.332700381,0.1,2.068,"NO",130
"SU17","A",2008,"EXP",802,,4,143,0.5,141.5,1.5,4,4,5.9,2.7475,2.166,6.496585255,1.423,3.809,0.518,190,,,,,143,5,10,92.7,40.7,3,0.31512383,-0.935766871,0.261153913,0.214518697,82.50818276,2.509321394,-1.218213164,0.148589527,0.266387118,0.557795467,0.237727883,0.1,2.212,"YES",139
"SU18","B",2008,"EXP",644,,4,138,0.25,134.5,3.5,4,,6.08,2.8165,2.223,7.014863383,1.2,3.582,0.566,196.25,4.257,85.135,102.162,14.71,142,6,0,80.8,36.9,5.5,0.330390792,-0.884175881,0.276891021,0.22716275,86.63790268,2.409902703,-1.204927813,0.150837156,0.267719441,0.563415026,0.208828879,0.1,2.545,"NO",136
"SU18","C",2008,"EXP",644,,4,138,0.5,134.5,3.5,2.5,,6.28,2.786,2.2105,6.86108322,1.293,3.591,0.662,190.5,3.432,65.38,84.536,8.72,142,6,0,80.8,36.9,5.5,0.330390792,-0.884175881,0.276891021,0.22716275,86.63790268,2.428583012,-1.187694305,0.159406993,0.269538999,0.591406043,0.18814136,0.1,2.545,"NO",136
"SU23","A",2008,"EXP",678,712,4,155,1,153.5,1.5,1.5,,7.36,2.9135,2.189,7.036182283,1.582,4.759,0.623,185,4.203,80.051,116.155,3.27,155,1,0,99.5,39.7,4,0.353396074,-0.955646373,0.253977364,0.280112922,92.84698022,2.279307736,-1.291301594,0.1338033,0.260092919,0.514444225,0.36440689,0.1,1.322,"NO",153
"SU23","B",2008,"EXP",678,712,4,155,0,155,0,3,,7.09,2.851,2.198,6.941976352,1.451,3.935,0.699,,2.946,58.919,91.972,2.77,155,1,0,99.5,39.7,4,0.353396074,-0.955646373,0.253977364,0.280112922,92.84698022,2.300071142,-1.287919291,0.131143756,0.260347139,0.503726512,0.375886627,0.1,1.322,"NO",153
"AE03","C",2008,"",,,4,122,2,119,3,3,,5.96,2.91,2.02,5.984477856,1.299,3.501,0.725,195.25,,,,,,,,,,,,,,,,2.330530226,-1.253348177,0.149329885,0.263148185,0.5674745,0.31139301,0.11,2.753,,117
"AE13","D",2008,"EXP",636,615,4,150,0.5,148,2,4,4,6.56,2.8235,2.137,6.498713225,1.455,4.245,0.523,243,3.797,75.946,110.501,3.86,137,1,0,100.7,37.3,6,0.386020829,-0.889829449,0.270381698,0.233903473,105.7862825,2.392589697,-1.255943067,0.136719879,0.262924907,0.519995919,0.327444278,0.11,0.523,"NO",
"EM04","C",2009,"EXP",883,,4,112,0.5,112,0,3.5,,5.01,2.77,2.113,6.233174706,1.09,3.71,0.51,,5.324,106.486,116.07,,121,6,0,82.3,38.7,5,,,,,80.61125211,2.243375374,-1.31281518,0.141800954,0.258556403,0.548433348,0.275641914,0.11,1.689,"NO",111
"EM09","A",2009,"EXP",885,,3,118,0.5,118,0,1,1,6.54,2.7535,2.2785,7.204663194,1.154,4.347,0.571,,5.108,102.162,117.895,6.67,124,5,0,79.5,37.8,5,0.312604494,-1.047148467,0.239374426,0.285055478,81.42905116,2.41061826,-1.230893817,0.151856814,0.265171194,0.572674625,0.218748146,0.11,1.171,"NO",118
"EM22","C",2009,"STD",,,4,124,0.5,124,0,3,3,5.94,3.0855,2.0655,6.634473837,1.292,1.722,0.577,,1.122,21.364,27.603,,,,,,,,,,,,,2.424685485,-1.245213229,0.138776597,0.263862163,0.525943528,0.247643167,0.11,2.118,,122
"EM26","A",2009,"EXP",895,,3,142,1.25,135,7,1,1,6.59,3.1295,2.0605,6.696544051,1.336,4.697,0.519,,5.392,107.838,139.003,,139,6,0,93.6,39.2,4.5,0.279348418,-0.975456328,0.253462631,0.194937066,89.47031919,2.496160107,-1.197349974,0.15707661,0.268506673,0.585000768,0.201374543,0.11,1.755,"NO",135
"EM26","B",2009,"EXP",895,,3,142,0.5,136,6,2,2,7.06,3.1055,2.14,7.167861691,1.454,,0.595,,4.554,91.081,121.684,,139,6,0,93.6,39.2,4.5,0.279348418,-0.975456328,0.253462631,0.194937066,89.47031919,2.452006531,-1.232135321,0.150408714,0.265055031,0.567462212,0.230677916,0.11,1.755,"NO",135
"FC15","B",2008,"STD",,,3,151,1.5,148,3,2,,6.39,2.9415,2.1105,6.603437963,1.735,3.186,0.63,231,2.378,52.853,91.7,,,,,,,,,,,,,2.403613262,-1.248944072,0.143609515,0.263532073,0.544941315,0.316039431,0.11,1.9764,,147
"FC15","C",2008,"STD",,,3,151,1,149,2,3,,6.41,2.945,2.1105,6.61129519,1.4,3.556,0.801,221,,,,,,,,,,,,,,,,2.386476112,-1.259690512,0.137303144,0.262606242,0.522847981,0.3464845,0.11,1.9764,,147
"FC16","B",2008,"CONT",668,,3,153,4,148,5,2,,6.83,2.9205,2.128,6.665473318,,,,,,,,,153,1,0,82.6,37.4,4.5,0.324784958,-0.89612928,0.265089346,0.284718746,86.33177465,2.29723509,-1.270150704,0.144250334,0.261740228,0.551120229,0.343056336,0.11,,"NO",147
"FC16","C",2008,"CONT",668,,3,153,2.5,149,4,3,,6.55,2.7905,2.1065,6.240731389,,,,,,,,,153,1,0,82.6,37.4,4.5,0.324784958,-0.89612928,0.265089346,0.284718746,86.33177465,2.324533393,-1.243161293,0.148028933,0.264045631,0.560618756,0.320408215,0.11,,"NO",147
"FC18","D",2008,"EXP",602,700,4,147,1,145,2,3,,7.13,3.0975,2.2085,7.614417028,1.408,2.01,0.89,,4.095,77.992,109.813,35.51,119,6,0,83.8,39,5,,,,,80.88498896,2.39425353,-1.286102435,0.137859081,0.260485133,0.529239727,0.328413414,0.11,3.004,"NO",143
"FC21","B",2008,"EXP",822,726,4,155,1.5,153,2,2,,6.49,2.8005,2.175,6.677050118,1.526,4.002,0.736,220,2.095,41.892,63.927,,158,1,0,80.8,40.1,3,0.331085078,-1.002255946,0.247275531,0.200635872,73.97478611,2.230196885,-1.323435748,0.133771949,0.257848376,0.518800818,0.369716424,0.11,1.798,"NO",
