NestID,EggLetter,YEAR,TYPE,FEMID,MALEID,CLTCHSIZ,SAMDOY,LAYDOY,AGEATSAM,ESTORD,KNOWNORD,MASS,LENGTH,WIDTH,VOLUME,YOLKMAS,ALBMAS,SHELMAS,MEANSTR,KIT,NOTESLP,NOTESPE,SampleID,Carot_conc_ugml,Carot_ug_g,Carot_ug_yolk,T_concentration,Yolk_sample_mass,Tng_yolkg,Tng_yolkmg,YolkTug,FDOY,AGE,ECTO,BMASS,TARSUS,CONDIT,MEANYAS,h.theta.fem,h.phi.fem,r.vec.fem,lum.fem,fem.scaled.mass,h.theta.egg,h.phi.egg,r.vec.egg,r.max.egg,r.achieved.egg,lum.egg,THICKNESS
EM04,B,2009,EXP,883,,4,112,111,1,1.5,,5.6,2.8415,2.2715,7.389306469,1.146,3.148,0.67,,LP,clean -  v. smal trace yolk on kimwipe,,EM04_B_A,3.622,80.48,92.231,,,,,,121,6,0,82.3,38.7,0.80391239,5,,,,,80.61125211,2.446684455,-1.246761619,0.145466118,0.263724622,0.551583377,0.265594047,0.12
EM26,C,2009,EXP,895,,3,142,137,5,3,3,7.25,3.091,2.1805,7.406989407,1.259,4.144,0.641,,LP,"tiiny trace yolk in alb. lost trace alb. During sep Shell whole_ clean separation given stage, but a bit advanced.",,EM26_3_N,3.878,77.568,112.783,,,,,,139,6,0,93.6,39.2,0.7545515,4.5,0.279348418,-0.975456328,0.253462631,0.194937066,89.47031919,2.419511632,-1.225514391,0.153631227,0.265680442,0.578255689,0.233764608,0.12
FC15,A,2008,STD,,,3,151,147,4,1,1,6.18,2.899,2.0555,6.173247853,1.226,3.85,0.5454,212,PE,,,,,,,,,,,,,,,,,,,,,,,,2.407104618,-1.252738055,0.144271833,0.263200996,0.54814319,0.301841959,0.12
FC16,A,2008,CONT,668,,3,153,147,6,1,,6.78,2.8715,2.144,6.652561822,,,,,PE,,,,,,,,,,,,153,1,0,82.6,37.4,-0.5106724,4.5,0.324784958,-0.89612928,0.265089346,0.284718746,86.33177465,2.312109138,-1.278920011,0.140288517,0.261040539,0.537420424,0.344172133,0.12
FC18,A,2008,EXP,602,700,4,147,144,3,2,,6.81,2.9275,2.1465,6.798126251,1.462,4.066,0.733,199.33,PE,cracked -trace yolk in albumen,frozen then thawed,FC18_1A_N,5.081,101.622,148.571,,,,,,119,6,0,83.8,39,1.03098837,5,,,,,80.88498896,2.472367552,-1.269246373,0.143078592,0.261813743,0.54649,0.285340015,0.12
FC18,C,2008,EXP,602,700,4,147,146,1,4,,6.82,2.9765,2.174,7.090151299,1.416,3.975,0.667,228.33,PE,cracked in fridge,frozen then thawed,FC18_3_N,2.581,51.622,73.096,25.88,0.5,38.8125,0.0388125,54.9585,119,6,0,83.8,39,1.03098837,5,,,,,80.88498896,2.373138708,-1.279339216,0.142159113,0.261007688,0.544654889,0.317462792,0.12
FC21,D,2008,EXP,822,726,4,155,153,2,4,,6.48,2.7675,2.1295,6.32518824,1.362,4.328,0.485,204,PE,stage = 1,,FC21_D_N,4.068,81.351,110.801,3.23,0.5,4.8435,0.0048435,,158,1,0,80.8,40.1,2.2768364,3,0.331085078,-1.002255946,0.247275531,0.200635872,73.97478611,2.289151656,-1.324096592,0.12660051,0.257805409,0.491070031,0.361511988,0.12
LP06,B,2008,EXP,49280,,4,128,125.5,2.5,2.5,,7.41,3.163,2.257,8.120688401,1.075,2.145,0.619,,LP,c - cracked at collection frozen TRANSFER DATA,FROZEN early,,,,,,,,,,128,6,5,90.5,38.3,0.00526112,3.5,0.254555243,-0.901574679,0.270212923,0.222461895,90.41022998,2.554223201,-1.16208893,0.167189931,0.272439388,0.613677532,0.255622584,0.12
LR06,A,2009,EXP,880,,4,113,113,0,1,1,7.23,3.1865,2.312,8.584601083,1.264,1.058,0.592,,LP,"clean - alb not complete, some spilled out, yolk broke_ maybe lost 0.1g max, not bad",,LR06_1_N,3.635,69.241,87.52,4.31,0.49,6.33717,0.00633717,8.01018288,115,6,0,94.4,37.8,-0.6843413,3,0.281580965,-0.939914126,0.258077911,0.26225733,96.6905966,2.251948939,-1.288398959,0.144800682,0.260310874,0.556260594,0.216597779,0.12
LR07,A,2009,STD,,,4,112,110,2,1,1,6.7,2.975,2.3505,8.283960465,1.313,4.482,0.67,,LP,clean,,LR07_1_A,4.608,87.773,115.247,,,,,,,,,,,,,,,,,,2.39666945,-1.264060621,0.140396559,0.262240248,0.535373805,0.299782,0.12
